rocky_id,ptv_id,x,y,z,nx,ny,nz,angle
1,1,0.02077870871047043,-0.014819458545464941,0.056688814391984595,0.4977266281054313,0.0,0.8673339631738156,1.5707963267948966
2,2,0.050568744324484105,-0.007447069477558373,0.021973513488664276,0.7823858712882813,0.0,0.6227939855268971,1.5707963267948966
3,3,0.05827428958205247,-0.007021516970293438,0.01280938024891818,0.643019131640513,0.0,0.7658501134975959,1.5707963267948966
4,4,0.014775820130148165,-0.018488732331734186,0.04065489630116428,0.7410997737398499,0.0,0.671394910140629,1.5707963267948966
5,5,0.03662866220168137,4.024635968501666e-05,0.11760803320301975,0.44274713801779314,0.0,0.8966465143951954,1.5707963267948966
6,6,0.07508503900221848,0.015492820325028385,0.02537388922108615,0.8000799056521611,0.0,0.599893444347935,1.5707963267948966
7,7,0.009628036278524628,0.01573703102116574,0.03830678552235568,0.7000765210250184,0.0,0.714067829207777,1.5707963267948966
8,8,0.010582232804098358,0.004759113426299009,0.09153771954335178,0.9103294480733471,0.0,0.4138843992837554,1.5707963267948966
9,9,0.028897495606222387,0.015483112209374612,0.05051336779774631,0.2653385051745397,0.0,0.9641553182302843,1.5707963267948966
10,10,0.06835988745192552,-0.013768432962736856,0.02667320495594943,0.2578726899692041,0.0,0.9661789046382905,1.5707963267948966
11,11,0.003691250962057342,-0.019781853902749006,0.11520534133900609,0.8883995666488164,0.0,0.4590710293388108,1.5707963267948966
12,12,0.06480222894362474,0.005623178938177542,0.12146405516041722,0.20379367605138796,0.0,0.9790138597596368,1.5707963267948966
13,14,0.009743030060568085,0.014971076829887693,0.023306153930558807,0.980763998713589,0.0,0.19519728181337784,1.5707963267948966
